Mode,Mean_Latency_sec,Std_Latency_sec,Accuracy_pct,Misclassifications,Rejections_BOTH_only
VOICE_ONLY,2.15608888888889,0.39178954578927,98.8888888888889,1,0
EEG_ONLY,2.6198275862069,0.53929730780609,95.4022988505747,4,0
BOTH,2.07939759036145,0.347328407880715,98.7951807228916,0,7
